hood_num,longitude,latitude
159,-79.534455893695,43.63940413929
159,-79.5307885955331,43.6446500736934
160,-79.4916503180578,43.6208298405492
160,-79.4916503180578,43.6208298405492
136,-79.1828486083702,43.7691525997965
160,-79.4933516287744,43.612970813717
160,-79.4933516287744,43.612970813717
136,-79.1752807147837,43.7754024916212
158,-79.5595489808024,43.6410462127615
158,-79.5595489808024,43.6410462127615
160,-79.5015269233689,43.6207467949703
136,-79.1824159074962,43.7676253019902
136,-79.1757030082056,43.7639968113224
136,-79.1757030082056,43.7639968113224
136,-79.1775002109631,43.7703677991443
160,-79.490261622689,43.6159361333697
136,-79.1685507191857,43.7772310882477
136,-79.1867356077898,43.7702254963022
158,-79.5446933915286,43.6551797711316
160,-79.5017193277311,43.6178692853375
161,-79.4740413148054,43.6305831095048
161,-79.4740413148054,43.6305831095048
161,-79.4740413148054,43.6305831095048
158,-79.5641823800888,43.6549156183442
159,-79.5275415080711,43.622795614759
158,-79.5521708861023,43.6397585135772
136,-79.1856630057595,43.7666183006767
136,-79.1960009011566,43.7556413926696
158,-79.547259887161,43.6413619158137
158,-79.547259887161,43.6413619158137
158,-79.547259887161,43.6413619158137
158,-79.5531381839606,43.651628925148
158,-79.5531381839606,43.651628925148
161,-79.4782521152121,43.6261107025654
158,-79.533391694418,43.6474513778927
158,-79.5586958788301,43.6440744122184
161,-79.4782521152121,43.6261107025654
161,-79.4782521152121,43.6261107025654
160,-79.493784123052,43.6172048197191
160,-79.4933244231238,43.6168593208279
136,-79.1775002109631,43.7703677991443
136,-79.1775002109631,43.7703677991443
160,-79.4827556167874,43.6209418801877
158,-79.5220178971549,43.6459354104686
161,-79.4864590187003,43.6189239585906
136,-79.1867356077898,43.7702254963022
160,-79.4964955217605,43.6197534147117
136,-79.1775002109631,43.7703677991443
160,-79.4942645218063,43.6186140217049
158,-79.5552384826719,43.6416071131139
136,-79.1689075171488,43.7723038956653
160,-79.4999262233962,43.6199249992166
160,-79.4878231172052,43.6210825584918
160,-79.4983879275447,43.6162187957559
160,-79.4913443187629,43.6200637396379
160,-79.4910768237402,43.6153593285938
161,-79.4856857136958,43.6254518801939
160,-79.4959283283347,43.6147147045151
159,-79.5370517919644,43.637717228493
159,-79.5370517919644,43.637717228493
136,-79.1871832045059,43.7643775995553
161,-79.4925739158687,43.6233829439011
159,-79.5256248980306,43.6441853910797
161,-79.4892446139261,43.6249601633662
136,-79.1815446120985,43.7761604914145
159,-79.534455893695,43.63940413929
159,-79.534455893695,43.63940413929
136,-79.1948688058549,43.7665029935724
136,-79.190646501461,43.758706196006
136,-79.1939176031183,43.7601957933278
158,-79.5565561807617,43.6435326131473
159,-79.5234970980244,43.6446312002172
158,-79.5408081918026,43.6543534825504
158,-79.5220178971549,43.6459354104686
158,-79.5220178971549,43.6459354104686
160,-79.5207393594055,43.6071972969863
159,-79.5168155146242,43.6285365624218
158,-79.5367807926108,43.6450459532122
161,-79.4812002159571,43.622964889692
161,-79.4812002159571,43.622964889692
136,-79.1979788063973,43.7619102913554
158,-79.53758119281,43.6513339791506
160,-79.4983879275447,43.6162187957559
160,-79.4983879275447,43.6162187957559
160,-79.4983879275447,43.6162187957559
159,-79.5569433874087,43.616128509042
159,-79.5569433874087,43.616128509042
160,-79.4880156187043,43.6193624527183
136,-79.1947643043253,43.7621233930652
158,-79.5287245948914,43.6487878006203
136,-79.1515583215604,43.763788906939
136,-79.1897208050804,43.7676538960486
161,-79.4856857136958,43.6254518801939
158,-79.5474639908207,43.6323843148182
136,-79.1947643043253,43.7621233930652
136,-79.1848964054359,43.7648811019153
160,-79.4968587209409,43.6205955155431
159,-79.5376348915756,43.6389702295676
160,-79.4827556167874,43.6209418801877
160,-79.4827556167874,43.6209418801877
136,-79.1960009011566,43.7556413926696
136,-79.1985145071932,43.7632263914354
160,-79.4934932398971,43.6044881034077
161,-79.4740413148054,43.6305831095048
160,-79.4929091405204,43.6030668058736
160,-79.4912209197307,43.6190536371847
160,-79.4912209197307,43.6190536371847
160,-79.4912209197307,43.6190536371847
160,-79.4983879275447,43.6162187957559
161,-79.4900182286664,43.6111503268518
161,-79.4900182286664,43.6111503268518
160,-79.4954324369333,43.6092047968549
159,-79.5462721831397,43.6163974046325
161,-79.4855360177774,43.6198493653639
136,-79.1828486083702,43.7691525997965
160,-79.4882180221866,43.6157365426613
158,-79.5287245948914,43.6487878006203
161,-79.4740413148054,43.6305831095048
158,-79.5523468856817,43.640174913464
159,-79.5319433949728,43.6452415722413
160,-79.4827556167874,43.6209418801877
160,-79.488837314617,43.6241802628804
158,-79.5595489808024,43.6410462127615
136,-79.1964252067769,43.7661562929773
158,-79.5200826975009,43.6454163144417
136,-79.1867356077898,43.7702254963022
161,-79.4756773150072,43.6293003105336
161,-79.4782521152121,43.6261107025654
161,-79.4812002159571,43.622964889692
136,-79.1757938108354,43.7693231011686
159,-79.531193095116,43.6460745790505
160,-79.4913443187629,43.6200637396379
159,-79.53295729462,43.6441335629688
161,-79.4793867147194,43.6264543008106
159,-79.5172071204693,43.6242016422175
159,-79.5586050871298,43.6084258047435
159,-79.534455893695,43.63940413929
159,-79.534455893695,43.63940413929
159,-79.53295729462,43.6441335629688
159,-79.5376348915756,43.6389702295676
161,-79.4864590187003,43.6189239585906
161,-79.4864590187003,43.6189239585906
160,-79.4967390332709,43.6122600960794
136,-79.1911427037557,43.7660865951971
161,-79.4812002159571,43.622964889692
160,-79.494590033872,43.6104788033099
161,-79.4812002159571,43.622964889692
136,-79.1775002109631,43.7703677991443
