longitude,latitude,stolen_place,cost,status,hood_num,hood_name,case_num
-79.5239828465961,43.7038299571942,Outside,1500,STOLEN,113,Weston (113),90
-79.3202823271071,43.6753296989369,Outside,NA,STOLEN,064,Woodbine Corridor (64),189
-79.4099828355837,43.6653904097079,Outside,100,STOLEN,079,University (79),1023
-79.3837790468618,43.6630379021417,Outside,150,STOLEN,167,Church-Wellesley (167),1053
-79.4069828314629,43.651378192884,House,0,STOLEN,081,Trinity-Bellwoods (81),540
-79.2749465253184,43.7494527615645,Commercial,NA,STOLEN,126,Dorset Park (126),72
-79.5870386777795,43.7509834780816,House,2000,STOLEN,002,Mount Olive-Silverstone-Jamestown (2),77
-79.3884986468509,43.6674341066959,Apartment,1400,STOLEN,169,Bay-Cloverhill (169),780
-79.4752106258304,43.6611147658827,Outside,0,STOLEN,088,High Park North (88),448
-79.4446670854159,43.6977162638641,House,NA,STOLEN,108,Briar Hill-Belgravia (108),92
-79.3867607489655,43.6702328098251,Outside,700,STOLEN,167,Church-Wellesley (167),1053
-79.4046775317727,43.6489637896268,Apartment,250,STOLEN,078,Kensington-Chinatown (78),1237
-79.443437721197,43.6653683194498,Other,1000,STOLEN,171,Junction-Wallace Emerson (171),530
-79.443437721197,43.6653683194498,Other,300,STOLEN,171,Junction-Wallace Emerson (171),530
-79.443437721197,43.6653683194498,Other,1850,STOLEN,171,Junction-Wallace Emerson (171),530
-79.3569119634984,43.658239197343,Other,1500,STOLEN,072,Regent Park (72),329
-79.3758612492946,43.6549468940506,Outside,80,STOLEN,168,Downtown Yonge East (168),1618
-79.2980082493702,43.678902331018,Commercial,800,STOLEN,062,East End-Danforth (62),423
-79.3884986468509,43.6674341066959,Outside,550,STOLEN,169,Bay-Cloverhill (169),780
-79.3884986468509,43.6674341066959,Outside,350,STOLEN,169,Bay-Cloverhill (169),780
-79.3787565471547,43.6543176934214,Apartment,2000,STOLEN,168,Downtown Yonge East (168),1618
-79.3700991535413,43.6561628952666,Outside,2000,STOLEN,073,Moss Park (73),1110
