area_num,area_name,longitude,latitude,case_num
1,North York,-79.37878234525155,43.74492266241028,154003
2,Scarborough,-79.21578018333261,43.780331935766164,50688
3,Downtown Toronto,-79.38496391785307,43.65174247854133,13846425
4,Etobicoke,-79.5029604978258,43.626331122269825,181159
5,York,-79.44514760009928,43.670942117133386,300552
6,East York,-79.41413299834032,43.704587513888875,59940
